
*****************************************************************
*****************************************************************
              Keystream Buffer size: 0 blocks
*****************************************************************
*****************************************************************

Number of Cores	LUTs    	FFs     	F7Muxes 	F8Muxes 	BRAM  	DSP   	WNS[ns]   	WHS[ns]   	WPWS[ns]  	Max Clock Rate [MHz]
1              	3183    	3277    	768     	352     	0     	0     	0.672     	0.125     	1.500     	300.5          
2              	4124    	3789    	1152    	480     	0     	0     	0.674     	0.125     	1.500     	300.7          
3              	4966    	4324    	1280    	608     	0     	0     	0.476     	0.125     	1.500     	283.8          
4              	6069    	4839    	1536    	736     	0     	0     	-0.018    	0.125     	1.500     	248.9          
5              	6583    	5362    	1793    	864     	0     	0     	-0.030    	0.120     	1.500     	248.1          
8              	8515    	6517    	2310    	1120    	0     	0     	-1.028    	0.120     	1.500     	198.9          
15             	14208   	10120   	4096    	2016    	71    	0     	-3.436    	0.120     	1.500     	134.5          




*****************************************************************
*****************************************************************
              Keystream Buffer size: 0 blocks
*****************************************************************
*****************************************************************

Number of Cores	LUTs    	FFs     	F7Muxes 	F8Muxes 	BRAM  	DSP   	WNS[ns]   	WHS[ns]   	WPWS[ns]  	Max Clock Rate [MHz]
1              	3183    	3277    	768     	352     	0     	0     	0.672     	0.125     	1.500     	300.5          
2              	4124    	3789    	1152    	480     	0     	0     	0.674     	0.125     	1.500     	300.7          
3              	4966    	4324    	1280    	608     	0     	0     	0.476     	0.125     	1.500     	283.8          
4              	6069    	4839    	1536    	736     	0     	0     	-0.018    	0.125     	1.500     	248.9          
5              	6583    	5362    	1793    	864     	0     	0     	-0.030    	0.120     	1.500     	248.1          
8              	8515    	6517    	2310    	1120    	0     	0     	-1.028    	0.120     	1.500     	198.9          
15             	14208   	10120   	4096    	2016    	71    	0     	-3.436    	0.120     	1.500     	134.5          




*****************************************************************
*****************************************************************
              Keystream Buffer size: 0 blocks
*****************************************************************
*****************************************************************

Number of Cores	LUTs    	FFs     	F7Muxes 	F8Muxes 	BRAM  	DSP   	WNS[ns]   	WHS[ns]   	WPWS[ns]  	Max Clock Rate [MHz]
1              	3183    	3277    	768     	352     	0     	0     	0.672     	0.125     	1.500     	300.5          
2              	4124    	3789    	1152    	480     	0     	0     	0.674     	0.125     	1.500     	300.7          
3              	4966    	4324    	1280    	608     	0     	0     	0.476     	0.125     	1.500     	283.8          
4              	6069    	4839    	1536    	736     	0     	0     	-0.018    	0.125     	1.500     	248.9          
5              	6583    	5362    	1793    	864     	0     	0     	-0.030    	0.120     	1.500     	248.1          
8              	8515    	6517    	2310    	1120    	0     	0     	-1.028    	0.120     	1.500     	198.9          
15             	14208   	10120   	4096    	2016    	71    	0     	-3.436    	0.120     	1.500     	134.5          



